,movie_title,release_date,genre,avg_rating,prod_budget,domestic_gross,global_gross,release_month,ROI,global_gross_millions,prod_budget_millions,budget_category,rating_category,roi_category
2570,Young Sherlock Holmes,1985-12-04,adventure,6.8,18000000,19739000,19739000,Dec,0.0966111111111111,19.74,18.0,Moderate Budget,Moderate Rating,Low ROI
1901,Out of Africa,1985-12-18,biography,7.1,28000000,79096868,258210860,Dec,8.221816428571428,258.21,28.0,Moderate Budget,High Rating,High ROI
2725,The Color Purple,1985-12-18,drama,7.7,15000000,94029472,94029472,Dec,5.268631466666666,94.03,15.0,Low Budget,High Rating,High ROI
2841,The Clan of the Cave Bear,1986-01-17,adventure,5.4,15000000,1953732,1953732,Jan,-0.8697512,1.95,15.0,Low Budget,Low Rating,Low ROI
3195,F/X,1986-02-07,action,6.7,10000000,20603715,20603715,Feb,1.0603715,20.6,10.0,Low Budget,Moderate Rating,Moderate ROI
2697,Highlander,1986-03-07,action,7.1,16000000,5900000,12900000,Mar,-0.19375,12.9,16.0,Moderate Budget,High Rating,Low ROI
2552,Gung Ho,1986-03-14,comedy,6.3,18000000,36611610,36611610,Mar,1.0339783333333334,36.61,18.0,Moderate Budget,Moderate Rating,Moderate ROI
3700,April Fool's Day,1986-03-27,horror,6.1,5000000,12947763,12947763,Mar,1.5895526,12.95,5.0,Low Budget,Moderate Rating,Moderate ROI
3782,Salvador,1986-04-23,drama,7.4,4500000,1500000,1500000,Apr,-0.6666666666666666,1.5,4.5,Low Budget,High Rating,Low ROI
2598,8 Million Ways to Die,1986-04-25,action,5.7,18000000,1305114,1305114,Apr,-0.9274936666666667,1.31,18.0,Moderate Budget,Low Rating,Low ROI
2716,Top Gun,1986-05-16,action,6.9,15000000,180470489,357469522,May,22.831301466666666,357.47,15.0,Low Budget,High Rating,High ROI
2039,Cobra,1986-05-23,action,5.8,25000000,49042224,49042224,May,0.96168896,49.04,25.0,Moderate Budget,Low Rating,Moderate ROI
3060,Invaders from Mars,1986-06-06,horror,5.5,12000000,4884663,4984663,Jun,-0.5846114166666667,4.98,12.0,Low Budget,Low Rating,Low ROI
